"","X","MediaId","FileName","ClassId","Date","Time","Locality","Latitude","Longitude","Elevation","Author","AuthorID","Content","Comments","Quality","Year","BackgroundSpecies","Order","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"1",0,10000,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10000.wav","kunsua","2010-01-19","14:00","RPPN Prima Luna, Nova Trento, Santa Catarina","-27.258","-49.02","500","Evair Legal","SMJXFKLATM","call, song","","1","BirdCLEF2014","","Passeriformes","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",38.217438,"Sclerurus scansor",16
"2",3,10003,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10003.wav","lksjxc","2011-02-17","11:05","Poço Preto trail, Iguaçu NP, Parana state","-25.6084","-54.4326","200","Daniel Lane","WOEAFQRMUD","call","Natural calls from a pair about 10m up in subcanopy, with mixed-species flock. Both members of pair appeared to be white-bellied.","2","BirdCLEF2014","Herpsilochmus rufimarginatus","Passeriformes","Tyrannidae","Myiopagis","caniceps","caniceps","Grey Elaenia",17.606939,"Myiopagis caniceps",11
"3",14,10015,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10015.wav","uphahj","2011-09-20","11:00","PARNA da Lagoa do Peixe, Tavares, Rio Grande do Sul","-31.2924","-51.0326","0","Rafael Antunes Dias","XJSWEWQCEC","call","Over forest adjacent to the Lagoa do Peixe.bird-seen:yesplayback-used:no","2","BirdCLEF2014","","Accipitriformes","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",31.252132,"Rupornis magnirostris",27
"4",30,10035,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10035.wav","oinzpv","2003-07-16","14:15","Serra da Capivara National Park, state of Piauí","-8.863","-42.627","450","Jeremy Minns","DGVLLRYDXS","call","Baixão do Perna. Semi-deciduous forest in narrow valley formed by rocky cliffs. Natural calls by a single bird (same bird as in XC82205). This is Call A in our DVD-ROM 'Birds of Brazil'.","2","BirdCLEF2014","","Passeriformes","Corvidae","Cyanocorax","cyanopogon","","White-naped Jay",21.419773,"Cyanocorax cyanopogon",11
"5",45,10058,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10058.wav","relbkx","2013-05-07","10:00","Borebi, São Paulo","-22.6736","-48.9592","700","Paulo Affonso Fonseca Pires Neto","QOMWCAGQJX","call","bird-seen:yesplayback-used:no","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",38.460272,"Tolmomyias sulphurescens",14
"6",62,10075,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10075.wav","cmcyuw","2011-10-08","08:26","Cristalino Jungle Lodge, MT","-9.5981","-55.932","260","Eric DeFonso","KTLCZCRCQX","call","Likely same bird as in XC130321. Close but obscured bird, vocalizing naturally off the trail in heavy brush at the Ilha research station and dormitory, near the Cristalino/Teles Pires river junction.bird-seen:noplayback-used:no","1","BirdCLEF2014","Ramphastos tucanus,Hylophilus semicinereus","Passeriformes","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",44.164308,"Cantorchilus leucotis",17
"7",65,10078,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10078.wav","bmiqmk","2005-11-19","6:30","Parque do Zizo, Sao Paulo State","-24.017146","-47.81044","630","Bob Planqué","OH38YHKJBS","call","heard throughout the day","2","BirdCLEF2014","Attila rufus,Lipaugus lanioides","Passeriformes","Pipridae","Chiroxiphia","caudata","","Blue Manakin",23.676485,"Chiroxiphia caudata",21
"8",79,10098,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10098.wav","lksjxc","2008-09-27","?","Lajeado Grande, Alpestre, Rio Grande do Sul","-27.2395","-52.9695","275","Adrian Eisen Rupp","AOPMSCIDIA","call, song","","2","BirdCLEF2014","","Passeriformes","Tyrannidae","Myiopagis","caniceps","","Grey Elaenia",20.166122,"Myiopagis caniceps",11
"9",92,10113,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10113.wav","ibvnlg","2010-08-30","10:20","trail between Hotel Donati and Hotel Simon, Itatiaia NP, RJ","-22.457","-44.5901","1000","Herman van Oosten","SNUDCZVUQK","call?","Lovely bird, whirring wings","1","BirdCLEF2014","","Passeriformes","Tyrannidae","Myiornis","auricularis","","Eared Pygmy Tyrant",25.458118,"Myiornis auricularis",15
"10",94,10115,"LIFECLEF2014_BIRDAMAZON_XC_WAV_RN10115.wav","tsxwwl","2009-04-02","?","Itajaí-mirim, Parque Nacional da Serra do Itajaí, Presidente Nereu, Santa Catarina","-27.247","-49.287","400","Adrian Eisen Rupp","AOPMSCIDIA","call","","1","BirdCLEF2014","","Passeriformes","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",28.656599,"Myrmeciza squamosa",14
