"","X","Latitude","Longitude","Elevation","BackgroundSpecies","Family","Genus","Species","Sub.species","VernacularNames","Length","GenusSpecies","fileCount"
"1",0,"-27.258","-49.02","500","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",38.217438,"Sclerurus scansor",16
"2",3,"-25.6084","-54.4326","200","Herpsilochmus rufimarginatus","Tyrannidae","Myiopagis","caniceps","caniceps","Grey Elaenia",17.606939,"Myiopagis caniceps",11
"3",14,"-31.2924","-51.0326","0","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",31.252132,"Rupornis magnirostris",27
"4",30,"-8.863","-42.627","450","","Corvidae","Cyanocorax","cyanopogon","","White-naped Jay",21.419773,"Cyanocorax cyanopogon",11
"5",45,"-22.6736","-48.9592","700","","Tyrannidae","Tolmomyias","sulphurescens","","Yellow-olive Flatbill",38.460272,"Tolmomyias sulphurescens",14
"6",62,"-9.5981","-55.932","260","Ramphastos tucanus,Hylophilus semicinereus","Troglodytidae","Cantorchilus","leucotis","","Buff-breasted Wren",44.164308,"Cantorchilus leucotis",17
"7",65,"-24.017146","-47.81044","630","Attila rufus,Lipaugus lanioides","Pipridae","Chiroxiphia","caudata","","Blue Manakin",23.676485,"Chiroxiphia caudata",21
"8",79,"-27.2395","-52.9695","275","","Tyrannidae","Myiopagis","caniceps","","Grey Elaenia",20.166122,"Myiopagis caniceps",11
"9",92,"-22.457","-44.5901","1000","","Tyrannidae","Myiornis","auricularis","","Eared Pygmy Tyrant",25.458118,"Myiornis auricularis",15
"10",94,"-27.247","-49.287","400","","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",28.656599,"Myrmeciza squamosa",14
"11",112,"-1.7375","-51.4556","12","","Thamnophilidae","Thamnomanes","caesius","hoffmannsi","Cinereous Antshrike",29.499637,"Thamnomanes caesius",12
"12",126,"-32.5662","-53.3759","25","Basileuterus culicivorus","Picidae","Melanerpes","candidus","","White Woodpecker",27.744195,"Melanerpes candidus",10
"13",138,"-23.5001","-45.2167","30","Hypoedaleus guttatus","Tyrannidae","Myiozetetes","similis","pallidiventris","Social Flycatcher",18.364263,"Myiozetetes similis",18
"14",156,"-23.5001","-45.2167","100","Trichothraupis melanops","Turdidae","Turdus","albicollis","albicollis","White-necked Thrush",15.500113,"Turdus albicollis",10
"15",170,"-9.5981","-55.932","250","","Falconidae","Ibycter","americanus","","Red-throated Caracara",42.503583,"Ibycter americanus",14
"16",176,"-22.38","-44.63","1150","Micrastur ruficollis,Hemitriccus furcatus,Anabazenops fuscus","Furnariidae","Campylorhamphus","falcularius","","Black-billed Scythebill",16.882268,"Campylorhamphus falcularius",10
"17",186,"-25.4578","-49.2467","850","","Psittacidae","Brotogeris","tirica","","Plain Parakeet",24.619433,"Brotogeris tirica",15
"18",195,"-24.2834","-48.4334","800","Drymophila ferruginea","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",21.822789,"Rhopias gularis",14
"19",196,"-26.0834","-48.6334","10","","Furnariidae","Philydor","atricapillus","","Black-capped Foliage-gleaner",38.043628,"Philydor atricapillus",11
"20",217,"-3.1253","-46.8456","?","Taraba major,Elaenia flavogaster,Todirostrum cinereum,Poecilotriccus fumifrons,Camptostoma obsoletum,Myiophobus fasciatus,Phaeomyias murina,Pitangus sulphuratus,Tyrannus melancholicus,Saltator coerulescens,Thraupis episcopus","Psittacidae","Psittacara","leucophthalmus","leucophthalmus","White-eyed Parakeet",21.696281,"Psittacara leucophthalmus",12
"21",220,"-2.623","-54.957","?","Dendrocolaptes certhia,Myiopagis gaimardii,Turdus leucomelas,Vireo olivaceus","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",34.532585,"Chiroxiphia pareola",14
"22",257,"-3.1253","-46.8456","?","Tyranneutes stolzmanni","Furnariidae","Glyphorynchus","spirurus","paraensis","Wedge-billed Woodcreeper",28.604376,"Glyphorynchus spirurus",10
"23",261,"-27.1017","-48.8887","30","","Furnariidae","Cichlocolaptes","leucophrus","","Pale-browed Treehunter",18.250136,"Cichlocolaptes leucophrus",14
"24",288,"-21.765","-43.3488","700","","Furnariidae","Sclerurus","scansor","","Rufous-breasted Leaftosser",29.098299,"Sclerurus scansor",16
"25",294,"-21.98667","-44.03389","901","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",32.468503,"Chiroxiphia caudata",21
"26",310,"-24.017146","-47.81044","650","","Thamnophilidae","Myrmeciza","squamosa","","Squamate Antbird",24.287166,"Myrmeciza squamosa",14
"27",315,"-16.3834","-56.6167","120","","Psittacidae","Anodorhynchus","hyacinthinus","","Hyacinth Macaw",41.934717,"Anodorhynchus hyacinthinus",11
"28",316,"-15.4263","-39.0117","50","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",33.530227,"Rupornis magnirostris",27
"29",319,"-16.7501","-56.8501","?","","Tyrannidae","Hemitriccus","margaritaceiventer","","Pearly-vented Tody-Tyrant",34.757574,"Hemitriccus margaritaceiventer",11
"30",328,"NULL","NULL","350","Tapera naevia,Pitangus sulphuratus","Tyrannidae","Myiozetetes","similis","","Social Flycatcher",21.824853,"Myiozetetes similis",18
"31",368,"-3.1253","-46.8456","?","Glyphorynchus spirurus,Trogon rufus","Turdidae","Turdus","albicollis","crotopezus?","White-necked Thrush",17.212086,"Turdus albicollis",10
"32",370,"-22.9501","-43.1667","150","","Tyrannidae","Cnemotriccus","fuscatus","fuscatus","Fuscous Flycatcher",40.260499,"Cnemotriccus fuscatus",10
"33",387,"NULL","NULL","?","","Parulidae","Basileuterus","culicivorus","","Golden-crowned Warbler",20.83678,"Basileuterus culicivorus",14
"34",393,"-29.3762","-50.8526","600","","Tyrannidae","Myiodynastes","maculatus","","Streaked Flycatcher",20.153401,"Myiodynastes maculatus",14
"35",399,"-9.0501","-56.5834","250","","Thamnophilidae","Myrmeciza","atrothorax","melanura","Black-throated Antbird",27.368186,"Myrmeciza atrothorax",12
"36",456,"-14.1334","-39.0501","50","","Tyrannidae","Megarynchus","pitangua","pitangua","Boat-billed Flycatcher",27.078209,"Megarynchus pitangua",11
"37",460,"-3.3214","-47.5139","?","Crypturellus soui,Aratinga jandaya,Amazona amazonica,Tapera naevia,Pheugopedius genibarbis,Coereba flaveola","Alcedinidae","Megaceryle","torquata","","Ringed Kingfisher",16.562971,"Megaceryle torquata",10
"38",492,"-7.3834","-39.3501","600","","Tyrannidae","Cnemotriccus","fuscatus","bimaculatus","Fuscous Flycatcher",29.384308,"Cnemotriccus fuscatus",10
"39",530,"-8.6114","-35.0392","0","Mimus saturninus","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",18.753243,"Camptostoma obsoletum",18
"40",556,"-17.3584","-44.8501","540","","Tyrannidae","Cnemotriccus","fuscatus","bimaculatus","Fuscous Flycatcher",18.808118,"Cnemotriccus fuscatus",10
"41",563,"-22.4508","-42.7735","300","","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",21.070295,"Sittasomus griseicapillus",11
"42",567,"-31.7184","-52.3276","20","","Fringillidae","Euphonia","chlorotica","","Purple-throated Euphonia",35.372132,"Euphonia chlorotica",13
"43",606,"-12.5834","-41.3667","400","","Thamnophilidae","Pyriglena","leucoptera","","White-shouldered Fire-eye",24.264172,"Pyriglena leucoptera",12
"44",630,"-14.9834","-59.9834","225","","Thamnophilidae","Myrmeciza","atrothorax","melanura","Black-throated Antbird",26.575079,"Myrmeciza atrothorax",12
"45",642,"-23.012","-44.5351","50","Procnias nudicollis,Myrmeciza squamosa","Galbulidae","Galbula","ruficauda","rufoviridis","Rufous-tailed Jacamar",25.931043,"Galbula ruficauda",11
"46",661,"NULL","NULL","1080","","Tyrannidae","Tolmomyias","sulphurescens","sulphurescens","Yellow-olive Flatbill",19.775828,"Tolmomyias sulphurescens",14
"47",664,"-24.2667","-48.4167","830","","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",32.047687,"Vanellus chilensis",19
"48",672,"-11.3834","-37.4001","10","","Alcedinidae","Megaceryle","torquata","torquata","Ringed Kingfisher",15.861383,"Megaceryle torquata",10
"49",704,"-9.2667","-49.9334","170","Cercomacra ferdinandi,Pheugopedius genibarbis","Psittacidae","Amazona","amazonica","","Orange-winged Amazon",15.653175,"Amazona amazonica",14
"50",727,"-24.2667","-48.4167","830","","Tyrannidae","Camptostoma","obsoletum","obsoletum","Southern Beardless Tyrannulet",21.626553,"Camptostoma obsoletum",18
"51",731,"-6.1242","-50.4382","650","Hylophylax naevius","Falconidae","Ibycter","americanus","","Red-throated Caracara",27.493016,"Ibycter americanus",14
"52",752,"-3.2348","-47.3714","?","Leptotila verreauxi,Crotophaga ani,Tapera naevia,Sturnella militaris","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",41.135896,"Vanellus chilensis",19
"53",759,"-22.898","-45.994","1300","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",30.911156,"Chiroxiphia caudata",21
"54",766,"-6.1603","-50.3459","680","","Parulidae","Myiothlypis","flaveola","","Flavescent Warbler",33.147732,"Myiothlypis flaveola",10
"55",813,"-24.017146","-47.81044","630","Turdus rufiventris,Basileuterus culicivorus","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",20.146961,"Rhopias gularis",14
"56",826,"-24.331","-52.387","640","","Tyrannidae","Cnemotriccus","fuscatus","","Fuscous Flycatcher",24.792925,"Cnemotriccus fuscatus",10
"57",845,"-12.5304","-41.5757","750","","Troglodytidae","Cantorchilus","longirostris","","Long-billed Wren",18.608639,"Cantorchilus longirostris",10
"58",856,"-9.5981","-55.932","250","","Charadriidae","Vanellus","chilensis","lampronotus","Southern Lapwing",33.39941,"Vanellus chilensis",19
"59",878,"-6.1603","-50.3459","400","","Furnariidae","Xiphorhynchus","guttatus","eytoni","Buff-throated Woodcreeper",44.054966,"Xiphorhynchus guttatus",11
"60",889,"-27.258","-49.02","500","Lathrotriccus euleri","Furnariidae","Sittasomus","griseicapillus","","Olivaceous Woodcreeper",15.457256,"Sittasomus griseicapillus",11
"61",890,"-23.0401","-46.0328","700","","Pipridae","Chiroxiphia","caudata","","Blue Manakin",19.109297,"Chiroxiphia caudata",21
"62",898,"-11.3834","-37.4001","10","","Pipridae","Chiroxiphia","pareola","pareola","Blue-backed Manakin",23.208821,"Chiroxiphia pareola",14
"63",901,"-24.2759","-48.4181","840","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",41.407596,"Rhopias gularis",14
"64",902,"-6.1657","-50.3445","390","","Thamnophilidae","Hypocnemis","striata","affinis","Spix's Warbling Antbird",27.218367,"Hypocnemis striata",11
"65",905,"-31.72889","-52.48944","0","","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",37.279683,"Camptostoma obsoletum",18
"66",909,"-2.0375","-54.1131","70","Heliornis fulica,Cantorchilus leucotis,Polioptila plumbea,Pitangus sulphuratus","Psittacidae","Amazona","amazonica","","Orange-winged Amazon",19.143492,"Amazona amazonica",14
"67",920,"-23.5001","-45.2167","30","Trogon viridis,Formicarius colma,Procnias nudicollis,Chiroxiphia caudata","Tyrannidae","Myiornis","auricularis","auricularis","Eared Pygmy Tyrant",17.252812,"Myiornis auricularis",15
"68",932,"-3.0843","-59.995","50","","Turdidae","Turdus","leucomelas","","Pale-breasted Thrush",20.62424,"Turdus leucomelas",18
"69",956,"-29.454","-50.58","?","","Threskiornithidae","Theristicus","caudatus","","Buff-necked Ibis",21.997891,"Theristicus caudatus",17
"70",963,"-23.2001","-46.5834","900","","Cardinalidae","Habia","rubica","","Red-crowned Ant Tanager",41.26424,"Habia rubica",14
"71",987,"-22.6771","-47.9831","460","","Conopophagidae","Conopophaga","lineata","","Rufous Gnateater",24.655351,"Conopophaga lineata",17
"72",1003,"-10.8814","-65.2501","130","Myrmotherula sclateri","Thamnophilidae","Microrhopias","quixensis","bicolor","Dot-winged Antwren",31.71907,"Microrhopias quixensis",11
"73",1004,"-20.4569","-42.6603","400","","Fringillidae","Euphonia","chlorotica","","Purple-throated Euphonia",20.690862,"Euphonia chlorotica",13
"74",1005,"-24.1834","-46.9001","10","Procnias nudicollis,Setophaga pitiayumi","Tyrannidae","Cnemotriccus","fuscatus","fuscatus","Fuscous Flycatcher",21.592086,"Cnemotriccus fuscatus",10
"75",1008,"-9.5981","-55.932","200","","Tyrannidae","Platyrinchus","platyrhynchos","amazonicus","White-crested Spadebill",24.428163,"Platyrinchus platyrhynchos",10
"76",1030,"-2.8528","-54.7951","?","Amazona amazonica,Automolus rufipileatus,Xenops minutus,Myrmeciza hemimelaena,Phlegopsis nigromaculata,Attila spadiceus,Manacus manacus","Thamnophilidae","Thamnomanes","caesius","hoffmannsi","Cinereous Antshrike",33.020023,"Thamnomanes caesius",12
"77",1055,"-22.6736","-48.9592","700","Chlorostilbon lucidus,Chiroxiphia caudata","Turdidae","Turdus","albicollis","","White-necked Thrush",30.566848,"Turdus albicollis",10
"78",1074,"NULL","NULL","?","","Threskiornithidae","Theristicus","caudatus","","Buff-necked Ibis",27.720907,"Theristicus caudatus",17
"79",1086,"-16.4456","-51.1201","650","","Psittacidae","Amazona","amazonica","","Orange-winged Amazon",15.618798,"Amazona amazonica",14
"80",1093,"-9.5981","-55.932","260","","Psittacidae","Ara","ararauna","","Blue-and-yellow Macaw",23.766848,"Ara ararauna",13
"81",1102,"-20.28333","-40.46667","150","","Furnariidae","Philydor","atricapillus","","Black-capped Foliage-gleaner",18.226077,"Philydor atricapillus",11
"82",1103,"-14.161877","-47.526169","","","Psittacidae","Ara","ararauna","","Blue-and-yellow Macaw",38.619274,"Ara ararauna",13
"83",1106,"-20.24528","-46.36583","1350","Sicalis citrina,Gnorimopsar chopi","Turdidae","Turdus","leucomelas","leucomelas","Pale-breasted Thrush",41.434127,"Turdus leucomelas",18
"84",1110,"NULL","NULL","562","","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",37.225556,"Camptostoma obsoletum",18
"85",1113,"-22.5001","-42.7167","35","Columbina talpacoti,Synallaxis spixi,Leptotila verreauxi,Vanellus chilensis,Thamnophilus palliatus","Troglodytidae","Pheugopedius","genibarbis","intercedens","Moustached Wren",26.841859,"Pheugopedius genibarbis",12
"86",1114,"-9.5981","-55.932","200","Pionus menstruus","Psittacidae","Amazona","farinosa","","Mealy Amazon",23.443107,"Amazona farinosa",16
"87",1132,"NULL","NULL","1080","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",16.066689,"Rhopias gularis",14
"88",1138,"-23.8312","-45.3495","190","","Psittacidae","Amazona","farinosa","","Mealy Amazon",36.883379,"Amazona farinosa",16
"89",1146,"-15.355","-38.982","0","","Cuculidae","Guira","guira","","Guira Cuckoo",36.695034,"Guira guira",10
"90",1152,"-22.6771","-47.9831","460","","Psittacidae","Psittacara","leucophthalmus","","White-eyed Parakeet",16.211995,"Psittacara leucophthalmus",12
"91",1163,"-12.6001","-41.4001","400","Leptotila verreauxi,Pyriglena leucoptera,Cyclarhis gujanensis","Corvidae","Cyanocorax","cyanopogon","","White-naped Jay",20.718571,"Cyanocorax cyanopogon",11
"92",1176,"-8.385","-52.031","250","","Thamnophilidae","Hypocnemis","striata","implicata","Spix's Warbling Antbird",24.590567,"Hypocnemis striata",11
"93",1202,"-7.3334","-39.3001","900","Cyclarhis gujanensis,Cyanocorax cyanopogon","Fringillidae","Euphonia","chlorotica","chlorotica","Purple-throated Euphonia",29.615624,"Euphonia chlorotica",13
"94",1232,"NULL","NULL","1.005","","Parulidae","Myiothlypis","leucoblephara","","White-rimmed Warbler",44.946553,"Myiothlypis leucoblephara",14
"95",1268,"-22.3667","-44.7334","1900","","Falconidae","Milvago","chimachima","","Yellow-headed Caracara",35.52941,"Milvago chimachima",18
"96",1271,"-22.5001","-42.7167","?","Trichothraupis melanops,Attila rufus,Malacoptila striata","Icteridae","Cacicus","haemorrhous","","Red-rumped Cacique",17.132857,"Cacicus haemorrhous",20
"97",1273,"-27.187","-52.778","350","Pyriglena leucoptera","Tyrannidae","Megarynchus","pitangua","","Boat-billed Flycatcher",20.831156,"Megarynchus pitangua",11
"98",1289,"-22.5001","-42.7167","300","","Tyrannidae","Attila","rufus","","Grey-hooded Attila",39.426145,"Attila rufus",14
"99",1295,"-22.4167","-42.9834","1300","Myiothlypis leucoblephara","Turdidae","Turdus","leucomelas","leucomelas","Pale-breasted Thrush",35.780884,"Turdus leucomelas",18
"100",1306,"-28.9612","-51.7681","450","","Accipitridae","Rupornis","magnirostris","","Roadside Hawk",22.767324,"Rupornis magnirostris",27
"101",1310,"-8.0539","-34.8809","0","","Icteridae","Cacicus","cela","","Yellow-rumped Cacique",26.656372,"Cacicus cela",11
"102",1314,"-16.9398","-56.8834","110","Aramus guarauna,Xiphorhynchus guttatus,Cyanocorax cyanomelas","Parulidae","Myiothlypis","flaveola","","Flavescent Warbler",29.928481,"Myiothlypis flaveola",10
"103",1325,"-22.38","-44.63","600","","Thamnophilidae","Rhopias","gularis","","Star-throated Antwren",34.123175,"Rhopias gularis",14
"104",1410,"-4.5167","-56.3001","50","","Thamnophilidae","Thamnomanes","caesius","persimilis","Cinereous Antshrike",21.655873,"Thamnomanes caesius",12
"105",1412,"-10.063769","-38.339453","300","Columbina squammata,Leptotila verreauxi,Furnarius leucopus,Cyclarhis gujanensis","Psittacidae","Forpus","xanthopterygius","flavissimus","Blue-winged Parrotlet",15.011973,"Forpus xanthopterygius",11
"106",1425,"-6.095","-49.9769","340","","Tyrannidae","Hirundinea","ferruginea","bellicosa","Cliff Flycatcher",27.048413,"Hirundinea ferruginea",12
"107",1431,"-15.2","-39.3","?","","Tyrannidae","Myiornis","auricularis","","Eared Pygmy Tyrant",24.850476,"Myiornis auricularis",15
"108",1447,"-15.457","-55.68","700","Cacicus cela","Psittacidae","Brotogeris","chiriri","","Yellow-chevroned Parakeet",30.816961,"Brotogeris chiriri",11
"109",1448,"-9.3001","-35.9334","550","","Thamnophilidae","Pyriglena","leuconota","pernambucensis","White-backed Fire-eye",43.554762,"Pyriglena leuconota",12
"110",1457,"-26.3247","-53.2885","850","","Tyrannidae","Camptostoma","obsoletum","","Southern Beardless Tyrannulet",23.837392,"Camptostoma obsoletum",18
"111",1476,"-2.333","-60.064","?","Hylophilus ochraceiceps,Hylophilus muscicapinus,Tolmomyias assimilis","Thamnophilidae","Thamnomanes","caesius","","Cinereous Antshrike",16.747234,"Thamnomanes caesius",12
"112",1489,"-4.3881","-59.5934","30","Ramphastos tucanus","Thamnophilidae","Microrhopias","quixensis","bicolor","Dot-winged Antwren",37.617778,"Microrhopias quixensis",11
